speaker_id	audio path	sentence	up_votes	down_votes	age	gender	accent
speaker01	speaker01-c21-001.wav	明天我去北京旅游，这次在北京一共待七天。	1.0	0.0	24.0	female	
speaker01	speaker01-c21-002.wav	你打算怎么去？	1.0	0.0	24.0	female	
speaker01	speaker01-c21-003.wav	我打算坐火车去，火车票和酒店都订好了。	1.0	0.0	24.0	female	
speaker01	speaker01-c21-004.wav	你的行程是怎么安排的？	1.0	0.0	24.0	female	
speaker01	speaker01-c22-001.wav	预订酒店可以网上办理，也可以打电话办理。	1.0	0.0	24.0	female	
speaker01	speaker01-c22-002.wav	我觉得网上预订比较方便，优惠也比较多。	1.0	0.0	24.0	female	
speaker01	speaker01-c22-003.wav	旅游旺季订酒店要提前，这样比较保险。	1.0	0.0	24.0	female	
speaker01	speaker01-c22-004.wav	要把出行计划安排好，以防万一，最好订可以免费取消的酒店。	1.0	0.0	24.0	female	
speaker01	speaker01-c22-005.wav	如果行程有变化，记得至少提前一天取消订单。	1.0	0.0	24.0	female	
speaker01	speaker01-c22-006.wav	这里有房间吗？我想住标准间，住两个晚上。	1.0	0.0	24.0	female	
speaker01	speaker01-c22-007.wav	请出示身份证登记，需要交押金，刷卡还是现金？	1.0	0.0	24.0	female	
speaker01	speaker01-c22-008.wav	给您登记好了，这是您的房卡和早餐券。	1.0	0.0	24.0	female	
speaker01	speaker01-c22-009.wav	你们早上几点开始供应早餐？	1.0	0.0	24.0	female	
speaker01	speaker01-c22-010.wav	早餐时间是早上六点半到九点半。	1.0	0.0	24.0	female	
speaker01	speaker01-c22-011.wav	退房时间是中午十二点吗？	1.0	0.0	24.0	female	
speaker01	speaker01-c22-012.wav	你好，是客房服务部吗？	1.0	0.0	24.0	female	
speaker01	speaker01-c22-013.wav	你好，这里是客房服务部，您需要什么帮助？	1.0	0.0	24.0	female	
speaker01	speaker01-c22-014.wav	我的房间里连不上网了，电视也打不开。	1.0	0.0	24.0	female	
speaker01	speaker01-c22-015.wav	电视怎么打开？怎么开空调？	1.0	0.0	24.0	female	
speaker01	speaker01-c22-016.wav	房间里太冷了，再给我加一床被子。	1.0	0.0	24.0	female	
speaker01	speaker01-c22-017.wav	稍等，我马上安排服务员过去。	1.0	0.0	24.0	female	
speaker01	speaker01-c22-018.wav	你们能送餐到客房吗？有洗衣服务吗？早上提供叫醒服务吗？	1.0	0.0	24.0	female	
speaker01	speaker01-c22-019.wav	明天我得赶早晨七点的火车。	1.0	0.0	24.0	female	
speaker01	speaker01-c22-020.wav	你好，我要退房。	1.0	0.0	24.0	female	
speaker01	speaker01-c22-021.wav	请稍等，我先让服务员查一下房。	1.0	0.0	24.0	female	
speaker01	speaker01-c22-022.wav	可以了，这是您的账单，如果没问题，可以结账了。	1.0	0.0	24.0	female	
speaker01	speaker01-c22-023.wav	房费直接从您的预付款中扣除，请在账单上签字。	1.0	0.0	24.0	female	
speaker01	speaker01-c22-024.wav	给我开一张发票，发票抬头写我们单位的全称。	1.0	0.0	24.0	female	
speaker01	speaker01-c22-025.wav	这里可以寄存行李吗？	1.0	0.0	24.0	female	
speaker01	speaker01-c22-026.wav	酒店前台可以寄存行李，你填好行李寄存卡就行了。	1.0	0.0	24.0	female	
speaker02	speaker02-s12-001.wav	妈妈早上起来给我们做了早餐。	1.0	0.0	55.0	male	
speaker02	speaker02-s12-002.wav	小李下午去了趟商店，买了些日用品。	1.0	0.0	55.0	male	
speaker02	speaker02-s12-003.wav	奶奶喜欢在院子里晒太阳，一边喝茶一边看报纸。	1.0	0.0	55.0	male	
speaker02	speaker02-s12-004.wav	爸爸每天早出晚归，工作非常辛苦。	1.0	0.0	55.0	male	
speaker02	speaker02-s12-005.wav	他昨天和朋友一起去爬山，玩得很开心。	1.0	0.0	55.0	male	
speaker02	speaker02-s12-006.wav	晚上她躺在床上看书，渐渐地睡着了。	1.0	0.0	55.0	male	
speaker02	speaker02-s12-007.wav	孩子们放学后在小区里玩耍，笑声不断。	1.0	0.0	55.0	male	
speaker02	speaker02-s12-008.wav	今天的天气真好，大家都在外面散步。	1.0	0.0	55.0	male	
speaker02	speaker02-s12-009.wav	她下班后去超市买了些菜，准备晚上做饭。	1.0	0.0	55.0	male	
